ID,MonthlyIncome
871,6233.408
872,2219.737
873,14260.75
874,2219.737
875,2219.737
876,6233.408
877,6233.408
878,2219.737
879,2219.737
880,14260.75
881,10247.079
882,2219.737
883,6233.408
884,6233.408
885,6233.408
886,6233.408
887,6233.408
888,6233.408
889,6233.408
890,2219.737
891,6233.408
892,10247.079
893,10247.079
894,6233.408
895,10247.079
896,10247.079
897,10247.079
898,14260.75
899,6233.408
900,2219.737
901,2219.737
902,6233.408
903,6233.408
904,2219.737
905,14260.75
906,6233.408
907,10247.079
908,6233.408
909,2219.737
910,2219.737
911,18274.421
912,2219.737
913,2219.737
914,10247.079
915,6233.408
916,6233.408
917,2219.737
918,6233.408
919,2219.737
920,2219.737
921,2219.737
922,2219.737
923,6233.408
924,6233.408
925,14260.75
926,2219.737
927,6233.408
928,10247.079
929,2219.737
930,2219.737
931,6233.408
932,10247.079
933,10247.079
934,2219.737
935,2219.737
936,2219.737
937,10247.079
938,10247.079
939,6233.408
940,2219.737
941,2219.737
942,10247.079
943,10247.079
944,6233.408
945,2219.737
946,6233.408
947,2219.737
948,2219.737
949,2219.737
950,6233.408
951,2219.737
952,6233.408
953,6233.408
954,2219.737
955,6233.408
956,10247.079
957,10247.079
958,2219.737
959,10247.079
960,18274.421
961,2219.737
962,6233.408
963,6233.408
964,6233.408
965,2219.737
966,18274.421
967,2219.737
968,10247.079
969,14260.75
970,2219.737
971,6233.408
972,6233.408
973,2219.737
974,2219.737
975,6233.408
976,2219.737
977,6233.408
978,2219.737
979,10247.079
980,18274.421
981,2219.737
982,10247.079
983,2219.737
984,2219.737
985,6233.408
986,2219.737
987,2219.737
988,6233.408
989,10247.079
990,2219.737
991,6233.408
992,2219.737
993,6233.408
994,6233.408
995,6233.408
996,6233.408
997,2219.737
998,14260.75
999,10247.079
1000,2219.737
1001,6233.408
1002,6233.408
1003,6233.408
1004,6233.408
1005,2219.737
1006,6233.408
1007,2219.737
1008,6233.408
1009,18274.421
1010,6233.408
1011,10247.079
1012,6233.408
1013,6233.408
1014,6233.408
1015,6233.408
1016,2219.737
1017,2219.737
1018,10247.079
1019,10247.079
1020,2219.737
1021,6233.408
1022,6233.408
1023,6233.408
1024,10247.079
1025,14260.75
1026,18274.421
1027,6233.408
1028,6233.408
1029,6233.408
1030,10247.079
1031,6233.408
1032,2219.737
1033,10247.079
1034,2219.737
1035,6233.408
1036,2219.737
1037,6233.408
1038,10247.079
1039,10247.079
1040,6233.408
1041,2219.737
1042,2219.737
1043,10247.079
1044,6233.408
1045,2219.737
1046,2219.737
1047,6233.408
1048,10247.079
1049,2219.737
1050,6233.408
1051,10247.079
1052,2219.737
1053,6233.408
1054,2219.737
1055,2219.737
1056,2219.737
1057,6233.408
1058,14260.75
1059,6233.408
1060,2219.737
1061,6233.408
1062,6233.408
1063,6233.408
1064,2219.737
1065,6233.408
1066,2219.737
1067,2219.737
1068,18274.421
1069,6233.408
1070,2219.737
1071,2219.737
1072,6233.408
1073,2219.737
1074,6233.408
1075,6233.408
1076,14260.75
1077,18274.421
1078,6233.408
1079,6233.408
1080,6233.408
1081,2219.737
1082,2219.737
1083,2219.737
1084,6233.408
1085,10247.079
1086,10247.079
1087,6233.408
1088,2219.737
1089,2219.737
1090,6233.408
1091,6233.408
1092,6233.408
1093,10247.079
1094,6233.408
1095,6233.408
1096,6233.408
1097,2219.737
1098,2219.737
1099,2219.737
1100,6233.408
1101,18274.421
1102,6233.408
1103,6233.408
1104,10247.079
1105,2219.737
1106,2219.737
1107,2219.737
1108,6233.408
1109,6233.408
1110,6233.408
1111,6233.408
1112,10247.079
1113,10247.079
1114,6233.408
1115,10247.079
1116,2219.737
1117,6233.408
1118,6233.408
1119,10247.079
1120,2219.737
1121,10247.079
1122,14260.75
1123,6233.408
1124,14260.75
1125,2219.737
1126,2219.737
1127,2219.737
1128,6233.408
1129,14260.75
1130,2219.737
1131,10247.079
1132,14260.75
1133,6233.408
1134,2219.737
1135,2219.737
1136,2219.737
1137,2219.737
1138,6233.408
1139,10247.079
1140,14260.75
1141,6233.408
1142,6233.408
1143,10247.079
1144,6233.408
1145,6233.408
1146,6233.408
1147,6233.408
1148,2219.737
1149,2219.737
1150,6233.408
1151,2219.737
1152,6233.408
1153,6233.408
1154,2219.737
1155,6233.408
1156,14260.75
1157,2219.737
1158,6233.408
1159,2219.737
1160,6233.408
1161,2219.737
1162,10247.079
1163,2219.737
1164,10247.079
1165,2219.737
1166,2219.737
1167,10247.079
1168,6233.408
1169,2219.737
1170,2219.737
